% Model:              FEM_BEM_model_stl_TwoProlSpheroids_1target.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 3 2025, 18:10
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Ps_Global_var_Point
500                                               500                                               -63.08424255264981                                -3.496615220088817E-4+6.076972313029394E-4i
750                                               750                                               -54.629944773329264                               0.0018556471102493255-1.081198812380888E-5i
1000                                              1000                                              -47.17074168385543                                -0.002259101658827478-0.003752315378258153i
1250                                              1250                                              -38.554964588407714                               -0.0052617478997374345+0.010573141069325498i
1500                                              1500                                              -19.063299992073798                               0.0795903710520185-0.07792602122947885i
1750                                              1750                                              -32.325751812429175                               0.008189038395534087+0.022766247932271i
2000                                              2000                                              -37.114536207240135                               0.008333172494298657-0.011175471242902413i
2250                                              2250                                              -39.339915802832216                               -0.01073350652450733-0.0010984978633248187i
2500                                              2500                                              -40.64473210033859                                0.0038369822844663837+0.00845466984824017i
2750                                              2750                                              -41.499964070679134                               0.004895170877466937-0.0068434250348081704i
3000                                              3000                                              -42.10015411118697                                -0.007813633567693712-7.774591191826454E-4i
3250                                              3250                                              -42.5417979956207                                 0.0030525388979851797+0.006810104128618377i
3500                                              3500                                              -42.8785004865994                                 0.004227268968118314-0.005802659234782626i
3750                                              3750                                              -43.14246092236803                                -0.006921967440143284-7.666327492818531E-4i
4000                                              4000                                              -43.354170784803266                               0.0027006455994987855+0.00623700502149771i
4250                                              4250                                              -43.52726622301283                                0.0039975051494139935-0.005329985913454793i
4500                                              4500                                              -43.67115357114158                                -0.00650186342079917-8.173169034955761E-4i
4750                                              4750                                              -43.79251439270806                                0.002476161150011258+0.005968875849360344i
5000                                              5000                                              -43.89621349853556                                0.003912012239501439-0.005046753604187604i
5250                                              5250                                              -43.98586935954026                                -0.006256800634446558-8.904526784729236E-4i
5500                                              5500                                              -44.0642215670193                                 0.0023031651094185257+0.005824240331930852i
5750                                              5750                                              -44.133378250254545                               0.003889372958343351-0.004845558071153722i
6000                                              6000                                              -44.194984479960475                               -0.006092097792287365-9.742773072227457E-4i
6250                                              6250                                              -44.25034012067837                                0.0021545915046911057+0.0057392101020792285i
6500                                              6500                                              -44.30048373489227                                0.0038985031215299504-0.004685195645948159i
6750                                              6750                                              -44.346253476372354                               -0.005968907687853298-0.0010639873296456968i
7000                                              7000                                              -44.388378279248386                               0.002018682805665639+0.005685948910583161i
7250                                              7250                                              -44.4274324736451                                 0.003925056436512864-0.004546770259916677i
7500                                              7500                                              -44.46375798011612                                -0.0058685262188162834-0.0011571822674216355i
7750                                              7750                                              -44.497748024391086                               0.0018896494556358556+0.005650572271909127i
8000                                              8000                                              -44.52882122591692                                0.003962322025574672-0.004421160109691069i
8250                                              8250                                              -44.55918055739916                                -0.005781984695085729-0.0012529059039289895i
8500                                              8500                                              -44.588091885476786                               0.0017644853860854237+0.005626320303409038i
8750                                              8750                                              -44.61576863901814                                0.004004986651592879-0.004302104116937766i
9000                                              9000                                              -44.64216233481396                                -0.00570233800108455-0.0013498276766264333i
9250                                              9250                                              -44.667419768930436                               0.0016412580134406163+0.005607659072831561i
9500                                              9500                                              -44.69185580040207                                0.004051569654758835-0.0041872187707625574i
9750                                              9750                                              -44.715947358664856                               -0.005627078918124528-0.0014478268348730148i
10000                                             10000                                             -44.73942966437461                                0.0015189715320690356+0.005592038649759878i
10250                                             10250                                             -44.7623589721034                                 0.004099446973218623-0.004073805451892953i
10500                                             10500                                             -44.784849605344725                               -0.005553227324583965-0.001546122726491645i
10750                                             10750                                             -44.80694734294879                                0.0013969702648081173+0.00557751360641956i
11000                                             11000                                             -44.828685304953936                               0.004147996743725235-0.003960964856697391i
11250                                             11250                                             -44.85012073120252                                -0.005479810847958122-0.0016446375236130737i
11500                                             11500                                             -44.87132304624757                                0.001274884673591048+0.005563129901886565i
11750                                             11750                                             -44.892299488004824                               0.004196489784846769-0.003847891206854026i
12000                                             12000                                             -44.91310225264685                                -0.005405862065155365-0.00174314170478429i
12250                                             12250                                             -44.933771194829845                               0.0011524759943370988+0.005548018634587981i
