% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 20 2025, 09:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -51.860965155125385                               5.812438966690259E-6+5.071636752418396E-5i
650                                               650                                               -47.12031458601106                                2.7381112857882695E-5+8.374518391252028E-5i
800                                               800                                               -43.20347032707873                                6.983209882854835E-5+1.1938755954465918E-4i
950                                               950                                               -39.68244210456842                                1.4325688645827617E-4+1.5003955250825207E-4i
1100                                              1100                                              -36.156938692919034                               2.674721391238699E-4+1.592736741813372E-4i
1250                                              1250                                              -31.949319304074265                               4.978117245104108E-4+8.676923479000731E-5i
1400                                              1400                                              -25.111608467406896                               9.40184473773753E-4-5.906535872006735E-4i
1550                                              1550                                              -27.537339708503495                               7.091511266519857E-4-4.4980768458136033E-4i
1700                                              1700                                              -39.998136880693956                               -1.947424861598046E-4+4.5744155130367226E-5i
1850                                              1850                                              -43.33821595570102                                -9.457645967325679E-6+1.358530326733831E-4i
2000                                              2000                                              -41.23662974588056                                1.2243462342714784E-4+1.2287399671795374E-4i
2150                                              2150                                              -39.04646178843386                                2.1150592384178157E-4+7.131901277623864E-5i
2300                                              2300                                              -37.523139309824394                               2.659946523052015E-4+2.0160055957951784E-7i
2450                                              2450                                              -36.48297951441419                                2.8901828274907615E-4-7.980550301489586E-5i
2600                                              2600                                              -35.78975698468498                                2.82649404777513E-4-1.5990143950472824E-4i
2750                                              2750                                              -35.367250431788904                               2.4976991499148227E-4-2.3205486814970033E-4i
2900                                              2900                                              -35.17281138937561                                1.9477272786277977E-4-2.8917169771347506E-4i
3050                                              3050                                              -35.18218007799859                                1.2363868641707132E-4-3.2558903480472967E-4i
3200                                              3200                                              -35.38127980373615                                4.362321625228649E-5-3.375746011098357E-4i
3350                                              3350                                              -35.76081065730518                                -3.730557018460923E-5-3.23686110817456E-4i
3500                                              3500                                              -36.31085311002521                                -1.1116353526297029E-4-2.849171502744552E-4i
3650                                              3650                                              -37.01266956512371                                -1.7067940822679262E-4-2.2460307727278916E-4i
3800                                              3800                                              -37.82398946098213                                -2.09965279602653E-4-1.4809585069330833E-4i
3950                                              3950                                              -38.6547528303575                                 -2.2505401179273576E-4-6.224399596954644E-5i
4100                                              4100                                              -39.342254081693476                               -2.1424862352625862E-4+2.5266707487925366E-5i
4250                                              4250                                              -39.67116294702172                                -1.7825093955536886E-4+1.0664387575887169E-4i
4400                                              4400                                              -39.49419942427292                                -1.2006028496147625E-4+1.7471763031540188E-4i
4550                                              4550                                              -38.86142225612841                                -4.465618064936061E-5+2.235969139239291E-4i
4700                                              4700                                              -37.97116095180162                                4.149946859266507E-5+2.4919048521543363E-4i
4850                                              4850                                              -37.01928116427879                                1.3108748906526246E-4+2.495456218305492E-4i
5000                                              5000                                              -36.1288431879458                                 2.1661911469711415E-4+2.249768195197177E-4i
5150                                              5150                                              -35.36005299854919                                2.9111843360180023E-4+1.7798123925460985E-4i
5300                                              5300                                              -34.737408400468574                               3.4873487814895965E-4+1.1295659923826751E-4i
5450                                              5450                                              -34.26887123050853                                3.852330371656998E-4+3.575809405542696E-5i
5600                                              5600                                              -33.95622130147019                                3.983221324707631E-4-4.685829308959111E-5i
5750                                              5750                                              -33.80023601086111                                3.8780479611938423E-4-1.2785199287890237E-4i
5900                                              5900                                              -33.803389915845734                               3.5554144919036634E-4-2.0051914112784175E-4i
6050                                              6050                                              -33.97157983548298                                3.0524102657625285E-4-2.5906810677678305E-4i
6200                                              6200                                              -34.31572943656637                                2.4210077355973914E-4-2.991053738797822E-4i
6350                                              6350                                              -34.85392835376477                                1.7232701261987726E-4-3.179957476594497E-4i
6500                                              6500                                              -35.614913970548244                               1.0257598055291028E-4-3.150708440841088E-4i
6650                                              6650                                              -36.64440316353602                                3.935882015460024E-5-2.916696445809386E-4i
6800                                              6800                                              -38.01771364996169                                -1.1541885412746922E-5-2.5100690399149084E-4i
6950                                              6950                                              -39.86803042995437                                -4.559647377300191E-5-1.9787648234037558E-4i
7100                                              7100                                              -42.46091330358951                                -5.9947562026874124E-5-1.382146896413694E-4i
7250                                              7250                                              -46.45313750104519                                -5.3686795207452676E-5-7.854784127470094E-5i
7400                                              7400                                              -54.48029354514482                                -2.795732723109845E-5-2.537904685206982E-5i
7550                                              7550                                              -59.603716813274836                               1.41344726251047E-5+1.5441268212068593E-5i
7700                                              7700                                              -48.13866970835713                                6.77962484457173E-5+3.9293984220978295E-5i
7850                                              7850                                              -43.46659628992028                                1.2701196866743425E-4+4.328117182095248E-5i
8000                                              8000                                              -40.58562766417323                                1.8507383747873307E-4+2.6489663795925544E-5i
8150                                              8150                                              -38.58007007228414                                2.3531590463138352E-4-9.785866943556876E-6i
8300                                              8300                                              -37.11511885996248                                2.717573013708563E-4-6.221502744074847E-5i
8450                                              8450                                              -36.031479594153375                               2.8973769853607445E-4-1.257054718828421E-4i
8600                                              8600                                              -35.242014252795684                               2.8641807983481593E-4-1.9390660000095927E-4i
8750                                              8750                                              -34.694921712304264                               2.6110364489062565E-4-2.5984827983882575E-4i
8900                                              8900                                              -34.357936505573086                               2.153445502469653E-4-3.1665661895463604E-4i
9050                                              9050                                              -34.21122904776945                                1.52780881305159E-4-3.5824721089228184E-4i
9200                                              9200                                              -34.242312500953645                               7.881570202716848E-5-3.799860421394019E-4i
9350                                              9350                                              -34.44369796542508                                4.6475840342896646E-8-3.791797135340724E-4i
9500                                              9500                                              -34.81340092567773                                -7.64203502199301E-5-3.5525244979750514E-4i
9650                                              9650                                              -35.34948301793512                                -1.436554322039596E-4-3.0995820645629557E-4i
9800                                              9800                                              -36.04962717001012                                -1.9564486000922532E-4-2.470970257580918E-4i
9950                                              9950                                              -36.90653106493894                                -2.2787929194473255E-4-1.7209828893138823E-4i
10100                                             10100                                             -37.897357253197534                               -2.3778611893532364E-4-9.14858096985327E-5i
10250                                             10250                                             -38.96626144513763                                -2.2494770285441668E-4-1.2176778075523309E-5i
