% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 14 2025, 11:13
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -51.91199314135852                                5.5618036158278095E-6+5.044364320228034E-5i
650                                               650                                               -47.193355708040514                               2.6415218696229648E-5+8.328114259070762E-5i
800                                               800                                               -43.28337395532617                                6.73750354134861E-5+1.1933889780058049E-4i
950                                               950                                               -39.72478503989704                                1.3926510140660486E-4+1.5238797657868286E-4i
1100                                              1100                                              -36.0462347971718                                 2.676237822688554E-4+1.667002843140919E-4i
1250                                              1250                                              -31.35048903418701                                5.35979377544904E-4+7.630802243574486E-5i
1400                                              1400                                              -22.969841061168168                               8.139244345963248E-4-0.0011645797880645015i
1550                                              1550                                              -20.54221774300332                                0.0018210180439164891-4.6304379064054935E-4i
1700                                              1700                                              -36.845771139238735                               1.2453769501002965E-4-2.592027255536866E-4i
1850                                              1850                                              -42.19706247208635                                6.635174372937591E-5-1.404141648557733E-4i
2000                                              2000                                              -43.22830517944111                                8.492186261133128E-5-1.0866971822642846E-4i
2150                                              2150                                              -42.488028279378234                               1.0089030401916332E-4-1.112514759209482E-4i
2300                                              2300                                              -41.730867970509706                               1.0431897791507438E-4-1.2636984566694043E-4i
2450                                              2450                                              -41.3184604115198                                 9.525710840896373E-5-1.4301299919394772E-4i
2600                                              2600                                              -41.27810165135001                                7.658939322935376E-5-1.5471382571285996E-4i
2750                                              2750                                              -41.603249885857906                               5.242090887147555E-5-1.578118709968379E-4i
2900                                              2900                                              -42.3070828223203                                 2.7290106589472618E-5-1.5089935144696476E-4i
3050                                              3050                                              -43.4377165967083                                 5.525954874741057E-6-1.345172642329695E-4i
3200                                              3200                                              -45.09830144272338                                -9.32155910327026E-6-1.1081121675837746E-4i
3350                                              3350                                              -47.493563599815374                               -1.49332066979313E-5-8.307025152998193E-5i
3500                                              3500                                              -51.03335956480307                                -1.0498565977568042E-5-5.516140478434295E-5i
3650                                              3650                                              -56.17030403104                                   3.2176736097233594E-6-3.09154213014029E-5i
3800                                              3800                                              -57.20804996693032                                2.4030847055545035E-5-1.3538508817134698E-5i
3950                                              3950                                              -52.22358204040765                                4.8691957409252584E-5-5.126361780849464E-6i
4100                                              4100                                              -48.67499632962031                                7.339439018366756E-5-6.345880342761845E-6i
4250                                              4250                                              -46.39651569353135                                9.43621679159179E-5-1.6328092330542E-5i
