% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 13 2025, 09:42
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -53.97233760574398                                -4.026345871155357E-6+3.9829543932001776E-5i
650                                               650                                               -48.94226488739855                                2.2367379815535493E-6+7.140091198498677E-5i
800                                               800                                               -44.6213133341871                                 1.9851709134821593E-5+1.157906943688447E-4i
950                                               950                                               -40.54032067788011                                5.928946050282047E-5+1.783405387553172E-4i
1100                                              1100                                              -36.222725725738314                               1.4835457382655903E-4+2.71004510804973E-4i
1250                                              1250                                              -30.820965774111862                               3.9850105973293637E-4+4.150905114702619E-4i
1400                                              1400                                              -22.029376231189485                               0.0015742723005190418+1.687667198774223E-4i
1550                                              1550                                              -19.577299931807822                               0.0012919020528082137+0.001655260264750269i
1700                                              1700                                              -33.29161373452594                                -2.9346151972697854E-5-4.3196584266136373E-4i
1850                                              1850                                              -37.59086697736767                                -9.592279132925041E-5-2.4588042993844983E-4i
2000                                              2000                                              -41.54901781171624                                -7.960311242394269E-5-1.471847683049976E-4i
2150                                              2150                                              -45.676942260211895                               -5.054584010222296E-5-9.093167378104727E-5i
2300                                              2300                                              -50.24553311564194                                -1.975200778525643E-5-5.822360090335099E-5i
2450                                              2450                                              -53.5782927297429                                 9.602117895246565E-6-4.077513737488214E-5i
2600                                              2600                                              -52.10993218962864                                3.595563659869461E-5-3.417510949799141E-5i
2750                                              2750                                              -49.339731097667595                               5.825075991050532E-5-3.554773429370606E-5i
2900                                              2900                                              -47.239026220560866                               7.572152570667345E-5-4.266039662426113E-5i
3050                                              3050                                              -45.770862941375974                               8.787728736447953E-5-5.356750979268465E-5i
3200                                              3200                                              -44.76433776296811                                9.452454956343503E-5-6.6479816072329E-5i
3350                                              3350                                              -44.108077905514655                               9.578480448385607E-5-7.973806413763551E-5i
3500                                              3500                                              -43.737716223533745                               9.209578692265241E-5-9.183683086277927E-5i
3650                                              3650                                              -43.618953259573246                               8.419245826735144E-5-1.0147033302532193E-4i
3800                                              3800                                              -43.73830410956473                                7.30679322756278E-5-1.07584502144209E-4i
3950                                              3950                                              -44.099454644732184                               5.991683008388371E-5-1.0942455635276627E-4i
4100                                              4100                                              -44.7239251740547                                 4.606444372756702E-5-1.0657096792543452E-4i
4250                                              4250                                              -45.65654151430435                                3.288618665792109E-5-9.895914383373228E-5i
4400                                              4400                                              -46.978853755493475                               2.1722735208673516E-5-8.68799594007097E-5i
4550                                              4550                                              -48.83914961996287                                1.3796445107516764E-5-7.096030429720734E-5i
4700                                              4700                                              -51.518719130281596                               1.0133717744775783E-5-5.212400125564898E-5i
4850                                              4850                                              -55.50250411444361                                1.1498596593551014E-5-3.153546593215317E-5i
5000                                              5000                                              -59.51493207299957                                1.8341637129382082E-5-1.0528593106018391E-5i
5150                                              5150                                              -55.86548104580429                                3.076688127912064E-5+9.474280231791532E-6i
5300                                              5300                                              -51.12696234759529                                4.851913935738361E-5+2.7049298808257127E-5i
5450                                              5450                                              -47.75380168633894                                7.099227708406985E-5+4.085874369197384E-5i
5600                                              5600                                              -45.25322187500386                                9.725817967282113E-5+4.973450768319676E-5i
5750                                              5750                                              -43.305015150824                                  1.2611490800867875E-4+5.275265709236976E-5i
5900                                              5900                                              -41.737101568328896                               1.561515107578737E-4+4.9294816830358634E-5i
6050                                              6050                                              -40.45038684136909                                1.8582623573110135E-4+3.909275529845324E-5i
6200                                              6200                                              -39.38355871951171                                2.1355357137864406E-4+2.2253341137146165E-5i
6350                                              6350                                              -38.49647201891814                                2.377958677172165E-4-7.379651225658534E-7i
6500                                              6500                                              -37.76171757215184                                2.5715394357445076E-4-2.903571855905618E-5i
6650                                              6650                                              -37.16002674773986                                2.7045155268606846E-4-6.147481632978735E-5i
6800                                              6800                                              -36.677615496546856                               2.7680844546246197E-4-9.663067463627772E-5i
6950                                              6950                                              -36.30460528411324                                2.756963014765579E-4-1.328959040292066E-4i
7100                                              7100                                              -36.03394317248083                                2.669780655008558E-4-1.6857029436678772E-4i
7250                                              7250                                              -35.86083951205657                                2.509192206890942E-4-2.019570806378601E-4i
7400                                              7400                                              -35.78226432113886                                2.2818049949097086E-4-2.3146255945372118E-4i
7550                                              7550                                              -35.796812999507544                               1.9977903552920173E-4-2.556878803851026E-4i
7700                                              7700                                              -35.9046092659807                                 1.6703124444561457E-4-2.735092901499092E-4i
7850                                              7850                                              -36.10635552912315                                1.314979101591507E-4-2.8417084836140916E-4i
8000                                              8000                                              -36.40689511696684                                9.481656135912342E-5-2.872266640362442E-4i
8150                                              8150                                              -36.81042134758722                                5.872041959847918E-5-2.827073728092211E-4i
8300                                              8300                                              -37.32404701316626                                2.486139591245662E-5-2.7102420351210466E-4i
8450                                              8450                                              -37.9577848024283                                 -5.2676344841628975E-6-2.5295694660643075E-4i
8600                                              8600                                              -38.72551414155295                                -3.041481365573251E-5-2.2960266911442595E-4i
8750                                              8750                                              -39.6464801397586                                 -4.9636629036842184E-5-2.0230777496044183E-4i
8900                                              8900                                              -40.74794720003081                                -6.234532551363525E-5-1.7258267021702522E-4i
9050                                              9050                                              -42.0703409405846                                 -6.833147146412255E-5-1.4199866835107322E-4i
9200                                              9200                                              -43.674890317178324                               -6.776684189113702E-5-1.1211501300212312E-4i
9350                                              9350                                              -45.66103899188988                                -6.118324581627643E-5-8.437871964861454E-5i
9500                                              9500                                              -48.206408419902154                               -4.9423929756375884E-5-6.002160566243031E-5i
9650                                              9650                                              -51.657795654576084                               -3.35869851550985E-5-4.003317240819371E-5i
9800                                              9800                                              -56.70874686999827                                -1.496124775046681E-5-2.5092334632770275E-5i
9950                                              9950                                              -61.76008874150378                                5.079425527965142E-6-1.5521491357861628E-5i
10100                                             10100                                             -57.21334551581367                                2.5142712307579806E-5-1.1299989807644906E-5i
10250                                             10250                                             -52.85254500778525                                4.3913631264713704E-5-1.2065546555972695E-5i
10400                                             10400                                             -50.08560986761195                                6.023164685248217E-5-1.714850405820645E-5i
