% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 10 2025, 15:17
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -93.10830085675241                                -3.825500125564929E-7+2.2179476810713084E-7i
650                                               650                                               -50.548623344403566                               -5.7888629261482194E-5+1.3199219458415179E-5i
800                                               800                                               -44.23122566873471                                -1.250824261755934E-5+1.222381681725837E-4i
950                                               950                                               -50.8116229616047                                 5.2134343231646785E-5+2.449843044560751E-5i
1100                                              1100                                              -44.53029437346948                                -7.643477624286188E-5+9.083834255829704E-5i
1250                                              1250                                              -80.40638535957582                                -1.631410078251072E-6-9.905477260652162E-7i
1400                                              1400                                              -22.721788386162416                               -0.0013581519884720006+5.411102287117275E-4i
1550                                              1550                                              -10.725367737928302                               0.0046444669786841475-0.0035037355932351355i
1700                                              1700                                              -33.426922099379524                               -3.0198243463674945E-4-3.008521017668908E-4i
1850                                              1850                                              -35.475750501243255                               2.534117487862364E-4-2.2169582411379896E-4i
2000                                              2000                                              -60.34697058858515                                1.717910681187096E-5-8.611873481445542E-6i
2150                                              2150                                              -31.55924294803547                                5.241253756174125E-4-6.80752686593733E-5i
2300                                              2300                                              -30.94925100488917                                1.2024361256374183E-4-5.540824474217221E-4i
2450                                              2450                                              -42.819475946186586                               -1.1922199403546774E-4-8.175870172222321E-5i
2600                                              2600                                              -41.64478511537271                                1.2044294119034626E-4-1.1350256563091854E-4i
2750                                              2750                                              -66.70523136564724                                8.203526047967369E-6-4.256488374432266E-6i
2900                                              2900                                              -34.786987029754954                               3.612805653759321E-4-4.823142511500844E-5i
3050                                              3050                                              -33.45715483954285                                8.944718802411655E-5-4.152638403785991E-4i
3200                                              3200                                              -44.81549190015204                                -9.498928278783847E-5-6.461514928524092E-5i
3350                                              3350                                              -43.293896136253814                               1.0032700016238127E-4-9.311397650935138E-5i
3500                                              3500                                              -68.58554296841395                                6.660307202643878E-6-3.3226177564849024E-6i
3650                                              3650                                              -35.93355658667862                                3.1705983243407454E-4-3.8697922458252876E-5i
3800                                              3800                                              -34.43481193511866                                8.406175419722883E-5-3.7014235142751595E-4i
3950                                              3950                                              -45.656555903516                                  -8.564431166380171E-5-5.949310272101993E-5i
4100                                              4100                                              -44.02972316988466                                9.333414907580773E-5-8.428765934143101E-5i
4250                                              4250                                              -69.44481840015123                                6.092268574509063E-6-2.887714695809507E-6i
4400                                              4400                                              -36.4993376182764                                 2.9756859502722E-4-3.186590247838961E-5i
4550                                              4550                                              -34.93817051654807                                8.443327456036931E-5-3.4810319256839417E-4i
4700                                              4700                                              -46.10749386586309                                -8.051951156340387E-5-5.760656099307315E-5i
4850                                              4850                                              -44.43553449751135                                9.032915632556371E-5-7.902797347036916E-5i
5000                                              5000                                              -69.92094262008392                                5.825149952509712E-6-2.608149008986871E-6i
5150                                              5150                                              -36.83022450011252                                2.869069422001824E-4-2.6012631184957336E-5i
5300                                              5300                                              -35.240794183668164                               8.697140290364613E-5-3.348203623118051E-4i
5450                                              5450                                              -46.386504474771414                               -7.708679721163403E-5-5.700540070219251E-5i
5600                                              5600                                              -44.69077731067057                                8.8992175361291E-5-7.525272332520316E-5i
5750                                              5750                                              -70.2180067362327                                 5.684553440521434E-6-2.3932195349907204E-6i
5900                                              5900                                              -37.04716950306312                                2.8022275848449407E-4-2.058039304209114E-5i
6050                                              6050                                              -35.44345941542163                                9.053573742900944E-5-3.2560081167343213E-4i
6200                                              6200                                              -46.577824633227856                               -7.446066324839906E-5-5.7021520726174835E-5i
6350                                              6350                                              -44.8675519498648                                 8.847707909298563E-5-7.219849962813996E-5i
6500                                              6500                                              -70.41988006776515                                5.606369486876872E-6-2.2096255771764106E-6i
6650                                              6650                                              -37.20240161280982                                2.7557358577978697E-4-1.534571685068986E-5i
6800                                              6800                                              -35.59106188644166                                9.46528751042397E-5-3.184916818474992E-4i
6950                                              6950                                              -46.72011964752943                                -7.225847909819727E-5-5.736753320328969E-5i
7100                                              7100                                              -44.999871290405                                  8.8406008685038E-5-6.952598902365548E-5i
7250                                              7250                                              -70.56689520710704                                5.5618254904965525E-6-2.042355971898502E-6i
7400                                              7400                                              -37.32188953772947                                2.720382953041445E-4-1.0206875166063334E-5i
7550                                              7550                                              -35.70642560899368                                9.908811756875746E-5-3.125440198732399E-4i
7700                                              7700                                              -46.83331932580116                                -7.02909569882948E-5-5.7900728911097765E-5i
