% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 7 2025, 21:53
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -57.203170051769945                               -8.455421667163954E-6+2.6270401450534386E-5i
650                                               650                                               -51.97816648572847                                -1.2186720574347554E-5+4.886750808930085E-5i
800                                               800                                               -47.41371782327028                                -1.4701803236261135E-5+8.390295303695172E-5i
950                                               950                                               -43.04865443989969                                -1.3354207195725998E-5+1.40163525500836E-4i
1100                                              1100                                              -38.431744547579754                               -4.185568780457061E-9+2.39575701357575E-4i
1250                                              1250                                              -32.79576321261058                                6.472908305699132E-5+4.5380394613947495E-4i
1400                                              1400                                              -23.82918284685159                                6.459003366809934E-4+0.001113159049971002i
1550                                              1550                                              -16.53776913431554                                8.630101990962369E-4-0.002851764012256286i
1700                                              1700                                              -29.86127992147354                                1.448373396953362E-4-6.26103009149781E-4i
1850                                              1850                                              -33.45848551888978                                1.99970937884153E-5-4.2425192154293967E-4i
2000                                              2000                                              -35.92979512189433                                -1.705075520175292E-5-3.190958177523573E-4i
2150                                              2150                                              -37.85625939334931                                -3.291103291247488E-5-2.5386205130195627E-4i
2300                                              2300                                              -39.51096881455504                                -4.0423253116150804E-5-2.0768603272935948E-4i
2450                                              2450                                              -41.04124985197676                                -4.3451357883528274E-5-1.7200218679702672E-4i
2600                                              2600                                              -42.542172953857516                               -4.349295722438917E-5-1.4277480205149296E-4i
2750                                              2750                                              -44.08806754045814                                -4.1242564868149145E-5-1.179138341328434E-4i
2900                                              2900                                              -45.750105294913354                               -3.707752924908547E-5-9.626992796019085E-5i
3050                                              3050                                              -47.610660487682274                               -3.123950577821333E-5-7.718973132564422E-5i
3200                                              3200                                              -49.78027972227857                                -2.3910638073165735E-5-6.0298075177267485E-5i
3350                                              3350                                              -52.41824601961818                                -1.5248700798109471E-5-4.538267040210542E-5i
3500                                              3500                                              -55.709255317280125                               -5.404492553817697E-6-3.232821424381527E-5i
3650                                              3650                                              -59.26125494600495                                5.469914771460971E-6-2.1077250641821088E-5i
3800                                              3800                                              -59.67475539962278                                1.7217006480330088E-5-1.1605217323684691E-5i
3950                                              3950                                              -56.49891960851147                                2.9672692164639525E-5-3.904176341773535E-6i
4100                                              4100                                              -53.4091189364339                                 4.2666192082430054E-5+2.0282563238938067E-6i
4250                                              4250                                              -51.00078907159727                                5.60208748011104E-5+6.196554723336689E-6i
4400                                              4400                                              -49.10783759310928                                6.955589318552446E-5+8.612774598071304E-6i
4550                                              4550                                              -47.57576383878683                                8.308792963229727E-5+9.300509066889617E-6i
4700                                              4700                                              -46.30400774485316                                9.643350461285838E-5+8.297304420201712E-6i
4850                                              4850                                              -45.22778043857932                                1.0941108437878544E-4+5.656626274053167E-6i
5000                                              5000                                              -44.303923889626304                               1.2184370629808594E-4+1.4488087956010531E-6i
5150                                              5150                                              -43.50263008151002                                1.335610808523291E-4-4.238420009849975E-6i
5300                                              5300                                              -42.8026077912726                                 1.4440223141615194E-4-1.1300114669765549E-5i
5450                                              5450                                              -42.18822026718868                                1.5421774139579014E-4-1.9614671429524222E-5i
5600                                              5600                                              -41.6477115176064                                 1.6287201884618296E-4-2.9044628636842873E-5i
5750                                              5750                                              -41.1720734119687                                 1.70245342778097E-4-3.9438195253760355E-5i
5900                                              5900                                              -40.75429541327147                                1.7623580592829313E-4-5.063077495470747E-5i
6050                                              6050                                              -40.38885531571336                                1.8076097404967628E-4-6.244708658753595E-5i
6200                                              6200                                              -40.07136791413195                                1.8375930695785359E-4-7.470318452151847E-5i
6350                                              6350                                              -39.79833068715051                                1.8519130898608793E-4-8.720907997838978E-5i
