% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 9 2025, 08:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -63.113214568960416                               6.934422155546738E-6+1.213384151832475E-5i
650                                               650                                               -65.41744363849698                                7.915565708949135E-6+7.227908072060529E-6i
800                                               800                                               -66.71626119056371                                -8.475372402894088E-6-3.6560826028875226E-6i
950                                               950                                               -50.443701862103794                               -5.982204038845751E-5-5.7307644744097885E-6i
1100                                              1100                                              -41.429785382708275                               -1.651683058161435E-4+3.871449396142257E-5i
1250                                              1250                                              -33.61428626541483                                -3.4987304576550304E-4+2.27204214130583E-4i
1400                                              1400                                              -24.087134108584056                               -6.600403211013406E-4+0.001060728214653306i
1550                                              1550                                              -13.70314610117555                                0.003838263363087735-0.0015226814285808077i
1700                                              1700                                              -25.893070066080135                               3.3189619034867945E-4-9.589813081499754E-4i
1850                                              1850                                              -31.75350480234671                                -1.8425323832838014E-5-5.165098423640657E-4i
2000                                              2000                                              -37.443773781484396                               -9.23831483005122E-5-2.5203853239719187E-4i
2150                                              2150                                              -46.505517798024876                               -5.2992383750227745E-5-7.832829427356636E-5i
2300                                              2300                                              -53.04067383620626                                4.292828787949565E-5+1.1967590037187392E-5i
2450                                              2450                                              -42.389456148075226                               1.5030765227103116E-4+2.1935301318998235E-5i
2600                                              2600                                              -38.68232060563821                                2.3047710566198587E-4-3.254109346939593E-5i
2750                                              2750                                              -36.917406830157226                               2.5792684896519535E-4-1.2172335964366621E-4i
2900                                              2900                                              -36.242913882295696                               2.2644013250178174E-4-2.091284532880211E-4i
3050                                              3050                                              -36.41484518391222                                1.4999751140820639E-4-2.623409211734984E-4i
3200                                              3200                                              -37.41841212727404                                5.726026077285118E-5-2.630615168708328E-4i
3350                                              3350                                              -39.43882432900734                                -1.8766708216710892E-5-2.1252111040281907E-4i
3500                                              3500                                              -43.07837140672072                                -5.2338333395129943E-5-1.3019086838850225E-4i
3650                                              3650                                              -50.865805161673656                               -3.375688938400678E-5-4.623305430950797E-5i
3800                                              3800                                              -56.67941681832154                                2.7704349481627588E-5+9.576877552430751E-6i
3950                                              3950                                              -45.25321957645517                                1.076589742128875E-4+1.8499360926349517E-5i
4100                                              4100                                              -41.06233660996537                                1.7576132737279204E-4-2.0695068913001435E-5i
4250                                              4250                                              -38.929612632447494                               2.0682825688672635E-4-9.166181911279825E-5i
4400                                              4400                                              -37.96647031496879                                1.8992060067712924E-4-1.6678499276090442E-4i
4550                                              4550                                              -37.907252908530914                               1.3210200089730506E-4-2.1751601298802825E-4i
4700                                              4700                                              -38.722834052394354                               5.552364220839934E-5-2.2492817830488399E-4i
4850                                              4850                                              -40.58846402460087                                -1.1038641845650954E-5-1.8657265369370624E-4i
5000                                              5000                                              -44.099220720239174                               -4.2986049413662464E-5-1.1711873441566656E-4i
5150                                              5150                                              -51.77711027572715                                -2.897929602974081E-5-4.262557736978145E-5i
5300                                              5300                                              -57.48326018507817                                2.5043594801765767E-5+9.320791523159677E-6i
5450                                              5450                                              -45.994315801735965                               9.831189886105873E-5+1.9886564756044223E-5i
5600                                              5600                                              -41.737693602968704                               1.631275131050436E-4-1.410789789468847E-5i
5750                                              5750                                              -39.54759823576381                                1.9525527597791248E-4-7.916383472594823E-5i
5900                                              5900                                              -38.53443467679466                                1.8294190939477373E-4-1.502915082507439E-4i
6050                                              6050                                              -38.431416602449666                               1.3121673358185149E-4-2.004570273774764E-4i
6200                                              6200                                              -39.20845671376695                                5.987388065359367E-5-2.1074188829939278E-4i
6350                                              6350                                              -41.03994935426102                                -4.085694488509262E-6-1.7738519053012158E-4i
6500                                              6500                                              -44.51984246956424                                -3.6665520024681264E-5-1.1306404768496314E-4i
6650                                              6650                                              -52.16279181607695                                -2.585805107624406E-5-4.1980209260827905E-5i
6800                                              6800                                              -57.81740213557386                                2.39628693425864E-5+9.325288138573029E-6i
6950                                              6950                                              -46.34314813427985                                9.382422711845528E-5+2.193693611107772E-5i
7100                                              7100                                              -42.069630415958734                               1.5737265383347632E-4-8.409680107734907E-6i
7250                                              7250                                              -39.863252047241936                               1.9079832863327928E-4-6.982500879570974E-5i
7400                                              7400                                              -38.835126372614596                               1.8175674758930116E-4-1.3881636875978653E-4i
7550                                              7550                                              -38.71837554490098                                1.3395200211929748E-4-1.8917598550383108E-4i
7700                                              7700                                              -39.482749229571155                               6.566352997622316E-5-2.0186051114590153E-4i
7850                                              7850                                              -41.301245790202586                               2.7876513268854097E-6-1.7215148551708026E-4i
8000                                              8000                                              -44.76881226603504                                -3.1002609829355876E-5-1.1126339330336243E-4i
8150                                              8150                                              -52.38656157196424                                -2.309473558714803E-5-4.213699481503408E-5i
8300                                              8300                                              -58.00823737831787                                2.3347528699702025E-5+9.362097879050957E-6i
8450                                              8450                                              -46.57079172134424                                9.070269627126093E-5+2.4147888286418784E-5i
8600                                              8600                                              -42.2916290058195                                 1.535916368761714E-4-2.966268753623602E-6i
8750                                              8750                                              -40.078886903284754                               1.8844292480574287E-4-6.139420152517783E-5i
8900                                              8900                                              -39.04447621930275                                1.8234264827265978E-4-1.2882196697705517E-4i
9050                                              9050                                              -38.92188339301987                                1.3783895928964895E-4-1.796424371875993E-4i
9200                                              9200                                              -39.6804983836468                                 7.194714097746857E-5-1.946208530807514E-4i
9350                                              9350                                              -41.49342852434208                                9.659126448180455E-6-1.6812915832220554E-4i
9500                                              9500                                              -44.95314368351927                                -2.5530770705661787E-5-1.1015671259650972E-4i
