% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 9 2025, 23:19
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -63.16229215716469                                -1.3894716187734524E-5+2.417200787308005E-7i
650                                               650                                               -52.615305291090706                               -3.7660435301622996E-5+2.778708392603413E-5i
800                                               800                                               -47.35813175868174                                -2.6019795135057144E-5+8.168405273545343E-5i
950                                               950                                               -46.196963964240396                               3.10093437390635E-5+9.295408791487603E-5i
1100                                              1100                                              -57.66609917685518                                2.1088806527680415E-5+1.5488157218190857E-5i
1250                                              1250                                              -38.52833561785631                                -2.3651108649402897E-4+1.4020083391907967E-5i
1400                                              1400                                              -24.991878285012824                               -7.826749994371829E-4+8.091344913748744E-4i
1550                                              1550                                              -13.245846101177452                               0.004005634437274308-0.0017026608538007748i
1700                                              1700                                              -28.405701711802706                               -4.818905885706215E-5-7.583502835188938E-4i
1850                                              1850                                              -48.54146566571483                                -3.800103258860821E-5-6.44389772508358E-5i
2000                                              2000                                              -37.28967895500516                                2.724927934282251E-4+2.020851622508424E-5i
2150                                              2150                                              -33.552202534108176                               3.618534211399238E-4-2.135432646757085E-4i
2300                                              2300                                              -34.00111333364135                                1.6197328698985825E-4-3.646459997342921E-4i
2450                                              2450                                              -38.07365310179789                                -4.847596151780209E-5-2.449075951097557E-4i
2600                                              2600                                              -54.71709615377934                                -2.2715104515125262E-5-2.888036793324833E-5i
2750                                              2750                                              -41.64228543685095                                1.65199148540629E-4+1.069321688740299E-5i
2900                                              2900                                              -36.800079741363945                               2.4812139510427267E-4-1.4834447770795123E-4i
3050                                              3050                                              -36.524518634355935                               1.2082076415020904E-4-2.728498740705021E-4i
3200                                              3200                                              -40.08948129431378                                -3.814671774260425E-5-1.9423981850152927E-4i
3350                                              3350                                              -56.37718708075565                                -1.895600238704942E-5-2.370323078937364E-5i
3500                                              3500                                              -43.01157615605046                                1.409976558758852E-4+1.0666995146513258E-5i
3650                                              3650                                              -37.95254756467007                                2.186736241195364E-4-1.2756980176875654E-4i
3800                                              3800                                              -37.50689768260905                                1.1065593304043775E-4-2.4243258125400402E-4i
3950                                              3950                                              -40.93581426528147                                -3.254229399896058E-5-1.7659898272537333E-4i
4100                                              4100                                              -57.12257073044193                                -1.722907704337917E-5-2.18872986418317E-5i
4250                                              4250                                              -43.65560435991238                                1.3076108790538443E-4+1.1833898342805682E-5i
4400                                              4400                                              -38.521161794654304                               2.0653744390974893E-4-1.164866593009739E-4i
4550                                              4550                                              -38.01232681414809                                1.0776421458863483E-4-2.2716275524237162E-4i
4700                                              4700                                              -41.38805610986814                                -2.8399099771370118E-5-1.6807954206399245E-4i
4850                                              4850                                              -57.53749726923323                                -1.6155910075144053E-5-2.107565558640001E-5i
5000                                              5000                                              -44.02136379624552                                1.2516761004471855E-4+1.3387079145665837E-5i
5150                                              5150                                              -38.85376845344247                                2.0056751923824834E-4-1.0887667200831785E-4i
5300                                              5300                                              -38.31600056297214                                1.076180615965927E-4-2.1763527347018474E-4i
5450                                              5450                                              -41.666763196834125                               -2.4842824435711286E-5-1.631989924076871E-4i
5600                                              5600                                              -57.80171068843761                                -1.5358909798979248E-5-2.068035829871917E-5i
5750                                              5750                                              -44.256029994182775                               1.2158988884392041E-4+1.5117414347898261E-5i
5900                                              5900                                              -39.07191874069875                                1.973793264619106E-4-1.0281720407090411E-4i
6050                                              6050                                              -38.51922702949432                                1.087599726958266E-4-2.1076807229647443E-4i
6200                                              6200                                              -41.856982519571766                               -2.1557755466250494E-5-1.6005784987038751E-4i
6350                                              6350                                              -57.987412103684086                               -1.4696825060500629E-5-2.0489040533422376E-5i
6500                                              6500                                              -44.42099390837168                                1.1902082248371748E-4+1.694491867298975E-5i
6650                                              6650                                              -39.22808136460059                                1.9561937149109587E-4-9.753814454616094E-5i
6800                                              6800                                              -38.66712289382544                                1.1058442366707055E-4-2.0527939290571062E-4i
6950                                              6950                                              -41.99772910594311                                -1.840771233430072E-5-1.578374172235275E-4i
7100                                              7100                                              -58.128649097786806                               -1.410627088249683E-5-2.040750815313075E-5i
7250                                              7250                                              -44.54600257728587                                1.1699741712128953E-4+1.8830802973712757E-5i
7400                                              7400                                              -39.348332859247144                               1.946449467724598E-4-9.267754118202909E-5i
7550                                              7550                                              -38.78261831681563                                1.1279397305480332E-4-2.0054738442432107E-4i
7700                                              7700                                              -42.109115066650816                               -1.5326888859079624E-5-1.5613191832308804E-4i
7850                                              7850                                              -58.242598667006106                               -1.3556416717186437E-5-2.0389670514209257E-5i
8000                                              8000                                              -44.64553230850985                                1.1529897168566228E-4+2.0759826230287715E-5i
8150                                              8150                                              -39.44526336760782                                1.9415404094719202E-4-8.805784462961874E-5i
8300                                              8300                                              -38.87677194409478                                1.1525341258333821E-4-1.9627271136124502E-4i
8450                                              8450                                              -42.20098337851118                                -1.2278921852626468E-5-1.5474545100147008E-4i
8600                                              8600                                              -58.33976773644417                                -1.3027694786060806E-5-2.040905821365513E-5i
8750                                              8750                                              -44.73075434109334                                1.1376468663121253E-4+2.2709492716987967E-5i
8900                                              8900                                              -39.52911511655409                                1.939039059989378E-4-8.355919515135035E-5i
9050                                              9050                                              -38.959054766392335                               1.1783360620792882E-4-1.9222192429813045E-4i
9200                                              9200                                              -42.28206509876038                                -9.247294539771467E-6-1.535112501670488E-4i
9350                                              9350                                              -58.42577037553048                                -1.2512188378499545E-5-2.0449948680112406E-5i
9500                                              9500                                              -44.8052150698865                                 1.1233976475144569E-4+2.4680489910999803E-5i
9650                                              9650                                              -39.60341563962457                                1.9381199154050455E-4-7.913001333936798E-5i
9800                                              9800                                              -39.032404565897515                               1.2050306315369852E-4-1.8831274868846837E-4i
9950                                              9950                                              -42.354949805808                                  -6.2199565263321155E-6-1.5237755160990574E-4i
10100                                             10100                                             -58.505565280132075                               -1.2001636854996889E-5-2.0500052539285107E-5i
10250                                             10250                                             -44.874084033532064                               1.1095316289505552E-4+2.6657325199686E-5i
10400                                             10400                                             -39.67232540243916                                1.9378049023177635E-4-7.472541783981601E-5i
10550                                             10550                                             -39.101131805508004                               1.2319715809205878E-4-1.8444616567869776E-4i
10700                                             10700                                             -42.42360318893982                                -3.1940072899860894E-6-1.5127008392112895E-4i
10850                                             10850                                             -58.58093351152483                                -1.149334261330015E-5-2.055446879001277E-5i
11000                                             11000                                             -44.93882304706932                                1.0958255568516151E-4+2.8639429087040646E-5i
11150                                             11150                                             -39.737554372440684                               1.937679242928203E-4-7.032592193845222E-5i
11300                                             11300                                             -39.16632065822406                                1.2590452257477125E-4-1.8059074909249073E-4i
11450                                             11450                                             -42.48904429179417                                -1.6489695675581117E-7-1.5016804237544257E-4i
11600                                             11600                                             -58.653033025793356                               -1.098459818354991E-5-2.0610453450475852E-5i
11750                                             11750                                             -45.00090445045543                                1.0820669029842911E-4+3.062333780878834E-5i
11900                                             11900                                             -39.80033197791515                                1.9374444154146575E-4-6.591685433143812E-5i
12050                                             12050                                             -39.22933128696855                                1.2860356746929869E-4-1.767144618891603E-4i
12200                                             12200                                             -42.55251677473477                                2.8684276349721927E-6-1.4904717404384815E-4i
12350                                             12350                                             -58.72376787353139                                -1.0474093286749753E-5-2.066237090203593E-5i
12500                                             12500                                             -45.06118120551618                                1.0681326081496412E-4+3.260510660596516E-5i
12650                                             12650                                             -39.86171966107761                                1.9368348464854357E-4-6.148828898422387E-5i
12800                                             12800                                             -39.290615342955974                               1.3128939023376862E-4-1.728023764956399E-4i
12950                                             12950                                             -42.6146963334675                                 5.906428393986918E-6-1.478935086194344E-4i
13100                                             13100                                             -58.79309520127428                                -9.960438211997769E-6-2.071065873943123E-5i
13250                                             13250                                             -45.120820769480794                               1.053855692869643E-4+3.458242138676404E-5i
13400                                             13400                                             -39.9222011559352                                 1.935717097714118E-4-5.703510870214146E-5i
13550                                             13550                                             -39.35204689066859                                1.3392485358110218E-4-1.6881998408568855E-4i
13700                                             13700                                             -42.67652068144568                                8.94550403407468E-6-1.466891229282563E-4i
13850                                             13850                                             -58.862082355231                                  -9.44368148214636E-6-2.0751756767078966E-5i
14000                                             14000                                             -45.18009868558082                                1.039199728334883E-4+3.6550351946273985E-5i
14150                                             14150                                             -39.982584817705586                               1.93387475397655E-4-5.255479185783951E-5i
14300                                             14300                                             -39.4129914352295                                 1.365209921270205E-4-1.64775562219166E-4i
14450                                             14450                                             -42.73826845949436                                1.1985981558049197E-5-1.4542748850343568E-4i
14600                                             14600                                             -58.931178002913796                               -8.923307198482888E-6-2.0784328680911734E-5i
14750                                             14750                                             -45.239430677599586                               1.0241029970198268E-4+3.850659948634316E-5i
14900                                             14900                                             -40.043121421481196                               1.931224717278135E-4-4.8046989137962015E-5i
15050                                             15050                                             -39.47418943271944                                1.3906173970162916E-4-1.6065520762931218E-4i
15200                                             15200                                             -42.800310634536785                               1.5023397232916125E-5-1.441009871547827E-4i
15350                                             15350                                             -59.00052161912733                                -8.398919443375341E-6-2.0807879231421467E-5i
15500                                             15500                                             -45.29929777132828                                1.0085037576146316E-4+4.044684836379542E-5i
15650                                             15650                                             -40.10332766327152                                1.9278405063316573E-4-4.351848888073384E-5i
