Freq_kHz,TS,f_bs
0.50,-63.08173670786665,(0.0007013143051779864+1.0285002085137247e-06j)
0.65,-57.773756413250254,(0.0012921397875883685+4.539297789166174e-06j)
0.80,-53.11791930767949,(0.002208473398391089+1.6323117364157095e-05j)
0.95,-48.67122752955733,(0.003684614326500546+5.39723286904136e-05j)
1.10,-44.02733795555214,(0.006287109352997375+0.00018209818132670837j)
1.25,-38.55235186390716,(0.011791018888020678+0.0007301449794842826j)
1.40,-30.41963764144297,(0.029657759847076737+0.005321048696756045j)
1.55,-18.17313642972421,(-0.0738844787771812+0.09884638969766411j)
1.70,-30.538790561570384,(-0.02904763124017139+0.006289751757585919j)
1.85,-34.796133533066,(-0.01802294652927495+0.002568940026014532j)
2.00,-37.11223960990531,(-0.01384844178257851+0.0016298386710056083j)
2.15,-38.603274801010755,(-0.011678543832772014+0.0012433791274185906j)
2.30,-39.650302083591804,(-0.010358181546068981+0.0010455750657652444j)
2.45,-40.4265917305602,(-0.009475022223149528+0.0009318380855660994j)
2.60,-41.02432237514647,(-0.008845675714639286+0.0008621077243659366j)
2.75,-41.497710136720954,(-0.008376318378374758+0.000818050053485825j)
2.90,-41.8809617411888,(-0.008014030761546822+0.0007901847552721942j)
3.05,-42.196813521541685,(-0.0077267342263913925+0.0007731517653275545j)
3.20,-42.46100006569621,(-0.007493873862111306+0.0007637064411293238j)
3.35,-42.68476771741377,(-0.007301685255817195+0.0007597758182477876j)
3.50,-42.87637060227414,(-0.007140614546929244+0.0007599763087672699j)
3.65,-43.042002594399314,(-0.007003830020586541+0.0007633504302065671j)
3.80,-43.1864001414458,(-0.006886322275390063+0.000769215107080185j)
3.95,-43.31324470120905,(-0.006784338425622733+0.0007770702158820339j)
4.10,-43.42543873581138,(-0.006695014236814313+0.000786541289656751j)
4.25,-43.52529944562807,(-0.006616127954575692+0.0007973424170386593j)
4.40,-43.61469755192533,(-0.006545931379025583+0.0008092515175451665j)
4.55,-43.69515851175241,(-0.006483031358082839+0.0008220934436912855j)
4.70,-43.76793751950139,(-0.006426305008744495+0.0008357281715697098j)
4.85,-43.8340758824031,(-0.006374837999116111+0.0008500423817386133j)
5.00,-43.89444394389106,(-0.006327878908735814+0.0008649433490168698j)
5.15,-43.949774147867444,(-0.006284804997675806+0.0008803544359940796j)
5.30,-44.00068678036937,(-0.006245096200772809+0.0008962117204517225j)
5.45,-44.04771020617285,(-0.006208315138049593+0.0009124614375886604j)
5.60,-44.091296943081666,(-0.006174091567651326+0.0009290580164512264j)
5.75,-44.13183641334085,(-0.006142110262985071+0.0009459625555906399j)
5.90,-44.16966541376557,(-0.006112101273981765+0.0009631416274521222j)
6.05,-44.2050764337176,(-0.0060838322813277215+0.000980566331635638j)
6.20,-44.23832453521719,(-0.006057102383404986+0.0009982115385800694j)
6.35,-44.26963299342737,(-0.006031737071637602+0.0010160552803926727j)
6.50,-44.29919796066328,(-0.00600758413017215+0.0010340782564291285j)
6.65,-44.32719234399219,(-0.005984510268646532+0.0010522634291307525j)
6.80,-44.35376904554431,(-0.0059623983405666+0.001070595691424421j)
6.95,-44.37906368335337,(-0.005941145032641343+0.0010890615912893197j)
7.10,-44.40319688641161,(-0.005920658935289026+0.0011076491023145002j)
7.25,-44.42627623890962,(-0.005900858923487748+0.0011263474315009036j)
7.40,-44.448397933984054,(-0.00588167279174384+0.0011451468574151618j)
7.55,-44.46964818579339,(-0.005863036098250623+0.001164038593223431j)
7.70,-44.49010443962342,(-0.005844891182136223+0.001183014670234467j)
