Freq_kHz,TS,f_bs
1.00,-58.23015896114317,(0.0012259884648607138+6.2636162756058915e-06j)
2.00,-37.136152466113195,(0.013811420359366479+0.001616395238808071j)
3.00,-36.63722764192243,(-0.014472051601483737+0.0027328656120124105j)
4.00,-41.33839931680502,(-0.008481473097130413+0.0012422068884213153j)
5.00,-42.9183352187962,(-0.007063169771010766+0.001087062889049172j)
6.00,-43.699225416570854,(-0.00643913269611297+0.00109687324474608j)
7.00,-44.13394286590655,(-0.006104390474281238+0.001156742467800488j)
8.00,-43.98588334918601,(-0.006198207344627922+0.001233919449320302j)
9.00,-45.2549269965029,(-0.005299990632980571+0.001315323545566212j)
10.00,-45.33571640964857,(-0.005223656359630583+0.0014084722670656452j)
11.00,-45.54488541055453,(-0.00506568267343254+0.001494289662523496j)
12.00,-45.808966605273504,(-0.004878420040741557+0.001565071358303904j)
13.00,-46.25863631309886,(-0.004602974461727118+0.0015745644623228277j)
14.00,-42.17193999022793,(-0.0067256532861261565+0.003925827813259995j)
15.00,-45.75498545278911,(-0.004720529118737058+0.00207203507606736j)
16.00,-46.13329181453153,(-0.004472487422080399+0.0020872215049369566j)
17.00,-46.38938973395515,(-0.0042857064528535075+0.002144162641163971j)
18.00,-46.589784844103875,(-0.004128390683717394+0.002210322621460221j)
19.00,-46.556768759242956,(-0.004102505694946033+0.0022947610938521498j)
20.00,-47.59903740722537,(-0.0034950639734874335+0.0022729690467196088j)
21.00,-47.61323331736682,(-0.0034366777281026775+0.0023482723061785294j)
22.00,-47.831862502401634,(-0.003277204692190799+0.0023946788043352073j)
23.00,-48.09759721251218,(-0.003099218374676188+0.002427258338948873j)
24.00,-48.42427715458338,(-0.0029056870580459406+0.0024353245067218685j)
25.00,-41.99769915903798,(-0.0011923747256812958+0.007855406621815936j)
26.00,-48.73432283803144,(-0.0025978113570326884+0.0025758134479733j)
27.00,-49.088973262955015,(-0.0024025792977127+0.0025615574635739426j)
28.00,-49.40519833826396,(-0.0022199748553691405+0.002557247176150862j)
29.00,-49.693292411742334,(-0.0020513856088529418+0.002554128484713455j)
30.00,-49.785373925191934,(-0.001963141350423722+0.0025792801194437186j)
31.00,-50.96894941164016,(-0.00147776550905526+0.0024117393596098913j)
32.00,-51.050074492609745,(-0.001397115257979594+0.002429051381750595j)
33.00,-51.37852126089065,(-0.0012372817143482958+0.002397792831033784j)
34.00,-51.75266247193889,(-0.0010689992470314371+0.0023529946266954106j)
35.00,-52.15761861519897,(-0.0009007978440108035+0.002296355543702629j)
36.00,-54.27433891020953,(-0.000678809698626656+0.001810134666770641j)
37.00,-52.909153892724454,(-0.0005682870056973806+0.002189718065784114j)
38.00,-53.34057472997307,(-0.00041126870343091915+0.002112986981086642j)
39.00,-53.75680219433952,(-0.00026069449075142247+0.0020352895886625224j)
40.00,-54.14523846186234,(-0.00012241865317544372+0.001958354005668553j)
41.00,-54.35887927386054,(-3.9450957211785275e-05+0.0019140964205856185j)
42.00,-55.45914266565848,(0.0003012972076263419+0.0016595911172428116j)
43.00,-55.61542002763683,(0.0003636742729698488+0.0016162326326608046j)
44.00,-55.94396421968704,(0.0004764974513720589+0.0015223195319568512j)
45.00,-56.26890185962476,(0.0005895928516770417+0.0014189628040839656j)
46.00,-56.56527890856229,(0.0006967345006668086+0.0013114433038660359j)
47.00,-56.606620656011415,(0.0007709595370669297+0.0012609720047354806j)
48.00,-57.09335120797541,(0.0008829294508704809+0.0010831747632023662j)
49.00,-57.334652993880376,(0.0009501706219408307+0.0009718354688988189j)
50.00,-57.722440191274146,(0.000969744448626499+0.0008654981725117125j)
51.00,-60.255403823624754,(0.0005535777361988102+0.0007977710349054984j)
52.00,-55.734968466534546,(0.0015240754054576177+0.0005891895379609509j)
53.00,-55.961128132026666,(0.001546872602514311+0.0003763712761775198j)
54.00,-55.97481009211785,(0.0015594317162433715+0.0003076863802079961j)
55.00,-50.24034466675718,(-0.0023935778680912105+0.0019319434970543935j)
