Freq_kHz,TS,f_bs
10.00,-34.609633528629686,(-0.012213074165467876+0.014028877002150797j)
12.00,-34.88402566803621,(-0.008718140889960651+0.01577276509058113j)
14.00,-34.78419594901162,(-0.0056817668107046245+0.017322119800994046j)
16.00,-34.68414539736627,(-0.0027768714121340766+0.018231083506905332j)
18.00,-34.537845905763064,(0.00031576890916481376+0.01875193715958192j)
20.00,-34.47008066766311,(0.0037215528960506264+0.018531493359176074j)
22.00,-34.10284504002639,(0.006717544510649859+0.018538202793143155j)
24.00,-34.27072570041193,(0.00996622108490564+0.016574755424753437j)
26.00,-34.10471395766622,(0.01293589238303776+0.014875677514437377j)
28.00,-33.93548738493847,(0.015366096286846815+0.012959479575388054j)
30.00,-33.96979335568443,(0.01740644513430564+0.009894516650758937j)
32.00,-33.798543913403655,(0.018927383217045582+0.007665724877325208j)
34.00,-33.71785578708635,(0.020140652987389884+0.004379880992540308j)
36.00,-33.661228494250174,(0.02072025593343025+0.001037226188095798j)
38.00,-33.755064911007665,(0.020440178249226885-0.0018450215136128786j)
40.00,-33.75926122536867,(0.019793711184520352-0.00538583340468854j)
42.00,-33.59858029434541,(0.018961636023462354-0.008781509642625153j)
44.00,-33.97419558579566,(0.016437414174976423-0.011414510713478062j)
46.00,-33.633892079632844,(0.015306013547652961-0.014101365039987915j)
48.00,-33.9578589722137,(0.012315477733886722-0.01582143946253636j)
50.00,-33.61403655262977,(0.009680274481045935-0.018477000864455084j)
52.00,-33.63604695683385,(0.006696142642752087-0.019699476325433094j)
54.00,-33.513266232884426,(0.0035125881081337663-0.020808241899851147j)
56.00,-33.59407142687644,(-0.0002933310445020167-0.020905168876068702j)
58.00,-33.70095790628059,(-0.003244137543273263-0.020395122255299696j)
60.00,-33.1025211791568,(-0.006600013241699881-0.021117158881916422j)
62.00,-33.577685462741975,(-0.010496858513274678-0.018126787713171083j)
64.00,-33.89460231972784,(-0.007032546886847779-0.018932252751608245j)
66.00,-33.6442865562029,(-0.014991739588506628-0.014399128017502563j)
68.00,-33.63686801725299,(-0.017264061506443554-0.011609394384078639j)
70.00,-33.69494038338526,(-0.018942559138273377-0.00826173318837822j)
72.00,-36.344647089609346,(-0.014254810471692922-0.005368952479266792j)
74.00,-33.769859744891335,(-0.020403975099071374-0.0018575092070642037j)
76.00,-33.724127766985454,(-0.020515712136657333+0.0018225614021889231j)
78.00,-33.82323834053048,(-0.019776617538234217+0.00485078797319656j)
80.00,-33.8374972437728,(-0.018766854602189593+0.007816058490295425j)
82.00,-33.798016440236495,(-0.01694721237633868+0.011395254144301899j)
84.00,-33.81117621186364,(-0.014541823944607037+0.014294521323889442j)
86.00,-33.941238196848815,(-0.012313224978914017+0.015871824675333896j)
88.00,-33.70077004829649,(-0.01048390535267027+0.017793021586420748j)
90.00,-33.73589610765964,(-0.00641627096658613+0.019542253534759364j)
92.00,-34.10816741609765,(-0.0027169739792735634+0.019517485493682575j)
94.00,-34.03068125338074,(0.0003894116989667097+0.019878454781949436j)
96.00,-33.82886455520609,(0.003762804872886035+0.019998730633357612j)
98.00,-33.99568771522452,(0.006140536502365757+0.01899464332314819j)
100.00,-34.02922680771842,(0.010034036937520098+0.01716843376117947j)
102.00,-33.82993160658218,(0.012529174480013379+0.016032029860757854j)
104.00,-34.11516373689801,(0.014960122293402761+0.01280171365941782j)
106.00,-33.7883359839541,(0.017023347993916027+0.011322372265304366j)
108.00,-33.91099784307948,(0.018688038576041562+0.0075569285359633675j)
110.00,-33.78115517378055,(0.020068192837916894+0.003993722804674937j)
112.00,-34.766148998858,(0.018168845717408476+0.0019013802826835368j)
114.00,-33.40238971408283,(0.02105986155921601-0.0036495172578306727j)
