Freq_kHz,TS,f_bs
10.00,-110.19268674197065,(-3.0928984535102347e-06+2.5564378269073007e-10j)
12.00,-107.90071147519251,(-4.02684044105644e-06+5.932975651019753e-10j)
14.00,-106.29468143993073,(-4.844689133372395e-06+1.1793989117468193e-09j)
16.00,-105.26870618336501,(-5.452110623622087e-06+2.0838228705860352e-09j)
18.00,-104.77486469907221,(-5.7710746480912e-06+3.3497676993064816e-09j)
20.00,-104.8107682064512,(-5.7472677068528414e-06+4.974857498886987e-09j)
22.00,-105.42401009781955,(-5.35548904304163e-06+6.895599950570557e-09j)
24.00,-106.740028714523,(-4.602541762576535e-06+8.978622589192514e-09j)
26.00,-109.05099615518137,(-3.5273460830085233e-06+1.1021464419339257e-08j)
28.00,-113.15834858880919,(-2.198240722498567e-06+1.2764554852357228e-08j)
30.00,-123.00156674846862,(-7.076813167308267e-07+1.391449965714416e-08j)
32.00,-121.56263406744614,(8.352293413874829e-07+1.417710579803358e-08j)
34.00,-112.71350948218064,(2.313754914890394e-06+1.3296941652632858e-08j)
36.00,-108.84182608470002,(3.613321847525053e-06+1.1098879487799275e-08j)
38.00,-106.68599585566591,(4.631265019283809e-06+7.526211004378299e-09j)
40.00,-105.53796829038612,(5.285688070243856e-06+2.6697194163952586e-09j)
42.00,-105.1570107605852,(5.522673751059335e-06-3.217385642405476e-09j)
44.00,-105.47976896011242,(5.321215250308371e-06-9.722517438514881e-09j)
46.00,-106.56644160222945,(4.695429283037472e-06-1.6296721921258998e-08j)
48.00,-108.65028055509765,(3.6938398314763373e-06-2.2297316991339802e-08j)
50.00,-112.41054931875473,(2.3957685481065566e-06-2.7047344957870846e-08j)
52.00,-120.86120458296101,(9.051130484579664e-07-2.9906658057466104e-08j)
54.00,-123.62647570203563,(-6.579831633016615e-07-3.034751852281277e-08j)
56.00,-113.28255828880074,(-2.166884498550749e-06-2.80263514299588e-08j)
58.00,-109.1213522281169,(-3.498832347564278e-06-2.2842941444616533e-08j)
60.00,-106.84915122777879,(-4.545064806919438e-06-1.4979019862503654e-08j)
62.00,-105.64685398448404,(-5.2198390092013075e-06-4.9098412761762195e-09j)
64.00,-105.2440652889944,(-5.46759600723274e-06+6.615121291549192e-09j)
66.00,-105.56759026896323,(-5.2676604457654204e-06+1.8623059126030922e-08j)
