freq,smoothed,sv
1.0,-16.595956048148498,-26.759257531621078
2.0,-17.419966273863515,4.794821905504197
3.0,-18.153679498110588,-20.10705720787591
4.0,-18.798615862860807,-31.068447888221268
5.0,-19.356295510085264,-22.759226046691154
6.0,-19.828238581755052,-21.217396527433458
7.0,-20.215965219841262,-17.067169773126505
8.0,-20.520995566314987,-22.53731771529217
9.0,-20.74484976314732,-12.605236242010136
10.0,-20.889047952309475,-16.752702321213135
11.0,-21.75096792502145,-22.722429844751538
12.0,-20.61104916343067,-13.712977324302194
13.0,-19.605527631050567,-41.353791523852756
14.0,-20.54712167766486,-12.300343456695026
15.0,-19.688979354227026,-23.81220231396771
16.0,-20.67596850603202,-19.441984505523777
17.0,-19.57755734560447,-18.436360521147954
18.0,-19.927430307414227,-14.324364039886955
19.0,-19.35773922842448,-22.439746491495406
20.0,-18.924610994794474,-22.31591372724674
21.0,-18.809476486796743,-9.062294920060731
22.0,-18.157858327905366,-23.86745854079891
23.0,-19.728569242876006,-12.317887084478434
24.0,-19.45784223038618,-31.29588326463358
25.0,-19.50214656627961,-7.997323696428698
26.0,-19.498317126459348,-29.233737475183467
27.0,-19.378780165475725,-19.103740510194246
28.0,-18.652986129916947,-19.175506902120816
29.0,-18.533693124688984,-18.23286120351903
30.0,-18.668332394186237,-19.498917862853393
31.0,-16.498342256349506,-14.819514046862892
32.0,-17.00283497098005,-16.882972896020036
33.0,-15.882557521475617,-12.758319482574223
34.0,-16.765826088400516,-18.474176848133702
35.0,-15.606519777030428,-15.678048416855004
36.0,-15.633030310214938,-14.991051455682962
37.0,-16.350147155583585,-16.254161805622413
38.0,-16.167583739681373,-15.991803759734996
39.0,-17.551296144672534,-13.556033856659315
40.0,-19.331183929662615,-30.211175222167014
41.0,-19.91226777074859,-12.568241304287985
42.0,-21.121678900090117,-20.484654900186978
43.0,-21.445260993945354,-16.793918237798398
44.0,-21.847465700579686,-20.30688943979683
45.0,-22.146726463800377,-31.065879800335892
46.0,-22.01534566786145,-18.995988556949477
47.0,-22.087684649533617,-35.19325479713678
48.0,-21.86458113072656,-18.857614613907327
49.0,-20.695718647049876,-13.611111553234714
50.0,-20.764037799457657,-22.43506831986909
51.0,-19.585941470055023,-14.671043816777214
52.0,-18.64385559331062,-17.749806585653257
53.0,-16.923167554303056,-20.41135119980342
54.0,-15.82241781717419,-17.34300396864389
55.0,-16.22525420521048,-19.08611949738696
56.0,-16.26713259987102,-14.031914363853595
57.0,-16.937519346601626,-12.200438504602944
58.0,-16.836569033894353,-16.305042193436282
59.0,-17.0149458758613,-17.50832919524591
60.0,-17.282265256353945,-15.153798904866846
61.0,-17.414294521075856,-17.408309511979034
62.0,-17.119799982305686,-24.146560309098305
63.0,-17.832352818619263,-21.45792838074034
64.0,-18.407728468602446,-16.87741806090175
65.0,-17.810564825554028,-9.87854614382094
66.0,-17.951121723712443,-21.792702870412462
67.0,-18.56103798120121,-22.343181602308633
68.0,-18.91751685326751,-12.978902094811414
69.0,-19.128093658246456,-20.519281321342213
70.0,-19.43720417902006,-15.18419104341303
71.0,-19.546157860786145,-23.919805554448423
72.0,-20.102383699774357,-15.912655531675206
73.0,-19.976186521958866,-13.792572861496994
74.0,-19.95556623114666,-33.69458645038708
75.0,-18.40064205744437,-24.33868855726409
76.0,-17.959042124703316,-14.094463937049696
77.0,-17.68011555139578,-17.374842372863696
78.0,-16.98033895544556,-19.01943985712668
79.0,-16.657963099944233,-12.4354551352594
80.0,-16.031624647983232,-12.601854996192527
81.0,-16.68032906273278,-11.665005320644784
82.0,-15.973895653309519,-18.46771105186882
83.0,-15.865520360634491,-12.050177765603049
84.0,-17.68597679166533,-21.460491186241676
85.0,-18.804369731083746,-19.811171673603106
86.0,-18.825041524314948,-21.98087329076713
87.0,-19.117968534019926,-18.937908950949826
88.0,-20.491087623113405,-22.232098715207304
89.0,-21.098944234678047,-22.426912960393057
90.0,-21.432380033061897,-16.147080233097423
91.0,-21.46793004530586,-27.442883222318194
92.0,-21.253525284408845,-17.71557070369409
93.0,-20.567698536599814,-14.705115458271283
94.0,-20.466199902004263,-18.933404933732
95.0,-20.328088203370818,-25.046315876787432
96.0,-19.507044899321247,-27.664178520126725
97.0,-18.370899103875868,-17.43519479720475
98.0,-18.626737643340974,-18.030446526493066
99.0,-18.56593217280712,-17.33647978025657
100.0,-19.08709029538979,-14.442061261880177
101.0,-19.83426809555236,-21.01620333717009
102.0,-20.164628834180334,-17.97400553056265
103.0,-20.567034155317543,-17.220549499239212
104.0,-20.3692893160778,-14.363958637278436
105.0,-21.199113328327538,-25.99215268573566
106.0,-22.793969005166325,-31.994610200529156
107.0,-22.884248153838413,-21.487833324805692
108.0,-23.00636577452399,-29.139143370033885
109.0,-22.146852693920465,-15.840925931479898
110.0,-21.52499774761961,-24.65967776354381
111.0,-21.649969175387678,-22.71246597380987
112.0,-20.86472662424869,-15.52429161739408
113.0,-20.82973013573592,-24.6222993964475
114.0,-19.68964749717047,-18.751073114737014
115.0,-19.89124840371553,-11.93979457417145
116.0,-20.413048600751836,-19.26698619858699
117.0,-20.587481703566972,-17.27488304859993
118.0,-21.14924912081831,-29.021743742756072
119.0,-20.13401084603923,-23.62195641330966
120.0,-20.843027598718052,-19.371136730686807
121.0,-21.139585844181532,-28.078846597538572
122.0,-20.36958452284856,-16.283427282312
123.0,-20.10461942686642,-23.063817167355964
124.0,-20.88166476233122,-15.870687607066916
125.0,-20.639201882503475,-19.94650317604617
126.0,-20.001142389451186,-15.005050104059288
127.0,-19.98403773889568,-18.376863068399455
128.0,-20.040678589565932,-27.31375981798003
129.0,-20.49371006304552,-15.043418408973672
130.0,-20.072132613627627,-18.30567471318095
