freq,smoothed,sv
1.0,-14.533163968519785,-25.91231120629562
2.0,-16.28061373287082,2.5706198911050073
3.0,-17.58510694902474,-19.46707401392487
4.0,-18.502746222289527,-12.787249610968187
5.0,-19.08963415797315,-35.62257458201395
6.0,-19.40187336138359,-20.626291844719553
7.0,-19.495566437828813,-14.871620453179641
8.0,-19.4268159926168,-17.89837926985965
9.0,-19.251724631055517,-21.182797162776758
10.0,-19.02639495845304,-14.753427739706664
11.0,-19.518429322043623,-19.89768872922919
12.0,-18.520572673515836,-19.611318097792505
13.0,-19.052198419630187,-19.612027488167517
14.0,-18.683572849708057,-19.39943059668114
15.0,-20.93237526129611,-16.681729721912085
16.0,-21.630875282875227,-16.728212041251783
17.0,-22.501619063371376,-25.324087930099246
18.0,-23.4155692733053,-22.410319906617552
19.0,-24.154343129194082,-22.956907572519377
20.0,-23.25399659117834,-33.851697347546256
21.0,-24.127075377828174,-24.701294151490654
22.0,-24.605691521794444,-22.87129687140327
23.0,-24.41682592795051,-26.523432984655486
24.0,-24.202187042877846,-18.701557277193114
25.0,-23.411786752566783,-27.641628940809447
26.0,-21.877672505794628,-18.895244392568394
27.0,-21.740013126114206,-16.78435415593263
28.0,-21.43589539187998,-19.46339396568741
29.0,-21.038873973704654,-34.27342728907259
30.0,-21.34136831983484,-16.42688583788578
31.0,-22.024276526911667,-16.779683907214515
32.0,-22.01814707479941,-22.413648209082755
33.0,-22.546717459290704,-20.746886369210237
34.0,-22.759299538459835,-22.556819150169964
35.0,-23.33125375263532,-30.787914967594062
36.0,-22.771836320887502,-22.708430624963263
37.0,-22.898126626858463,-21.615952314203216
38.0,-22.360437787466665,-22.43807200464511
39.0,-24.442558662723297,-28.657176027834904
40.0,-25.76357287123259,-18.47050763339254
41.0,-25.913119446325613,-25.448028339679677
42.0,-26.103748854517328,-24.798708948029343
43.0,-26.212164537271207,-21.027507109521835
44.0,-24.813264409473383,-26.229967197087618
45.0,-26.608769426152612,-36.15784961952402
46.0,-28.1157646307133,-26.703371345968684
47.0,-29.006171068508145,-39.015185006200035
48.0,-28.951739516020503,-26.372778507659156
49.0,-29.19226325859422,-16.56503525605922
50.0,-28.97183210051098,-25.16416725395242
51.0,-29.01251703795842,-28.211544236000332
52.0,-28.753938578522174,-26.546084760782097
53.0,-28.157087058639426,-51.724149278250266
54.0,-27.750309538337802,-26.349890444050562
55.0,-28.07332967496358,-19.526414393171976
56.0,-27.398399225901585,-19.84870183313296
57.0,-28.252670031322545,-28.472077543193794
58.0,-27.647065608460633,-31.80510597652402
59.0,-26.339856190107408,-26.280434468152425
60.0,-25.576291275693162,-26.356120318408646
61.0,-24.80146598457656,-27.65380376285333
62.0,-24.244602097789183,-24.540381626112318
63.0,-25.556660686984234,-22.817806396620945
64.0,-25.78016612324317,-22.830290281959993
65.0,-25.373776649994245,-26.568684817248283
66.0,-24.742302934949162,-21.280917854232058
67.0,-24.887937695246592,-29.511563969246772
68.0,-25.812087266646696,-26.63818892728211
69.0,-26.25612533923703,-24.728352781054
70.0,-26.428205402968786,-27.318706172377112
71.0,-27.20386827501461,-22.097126457564784
72.0,-27.313072559577062,-30.539163796296386
73.0,-27.24137968463188,-27.3269749137634
74.0,-26.47652125387039,-27.958323948650836
75.0,-26.099791618660596,-29.051608899816422
76.0,-25.17750737889342,-27.895217111516807
77.0,-24.770150677869005,-22.9879586379643
78.0,-24.577467871871626,-23.508972368406972
79.0,-25.2226022161111,-26.790387872067583
80.0,-25.469774678381228,-19.904638741284472
81.0,-25.808312535949508,-23.307298556513647
82.0,-26.327131299840012,-21.29260290905084
83.0,-26.571683362782554,-28.242971975887713
84.0,-26.758709345158515,-28.011157551641503
85.0,-27.303483344788987,-30.31401404462562
86.0,-28.928641266298868,-35.19853111456961
87.0,-28.417662106046645,-34.95742636316714
88.0,-29.004533128488582,-23.205899774683818
89.0,-29.65290537074167,-30.21198528369065
90.0,-29.696182219937036,-22.304860373573376
91.0,-29.367381671017412,-26.941509657682605
92.0,-28.410345417815886,-28.740347570334567
93.0,-27.76498362164971,-32.373043185467246
94.0,-27.588414664593596,-32.54036755700089
95.0,-27.742679583360847,-17.49677422199953
96.0,-27.905088180667036,-39.0053104981863
97.0,-29.247952542129013,-26.38762285404463
98.0,-29.03567738077855,-27.026312327800266
99.0,-29.06044873187861,-24.198903562123913
100.0,-28.555874111448286,-27.872054587559756
101.0,-28.15229408687709,-31.209318024129967
102.0,-29.48648530336859,-34.34268339510706
103.0,-29.985795268487415,-29.260082656444464
104.0,-30.975139123670132,-26.97215475856915
105.0,-30.23513462715967,-34.69013082197127
106.0,-31.678454371215736,-23.052993534514048
107.0,-31.80052202632152,-29.922362379882728
108.0,-31.373724758259254,-34.95280591012503
109.0,-30.85200530865382,-35.4532777633634
110.0,-30.074535710195605,-40.63974668790503
111.0,-29.79673597374676,-19.649211479415428
112.0,-29.86994638894405,-31.806386068528663
113.0,-29.44849255401006,-27.122166161416317
114.0,-28.8782035431886,-30.742197699002304
115.0,-27.21833014923991,-22.445292498065132
116.0,-26.13870371546929,-24.89393500000652
117.0,-25.724750295199176,-30.024440166889374
118.0,-26.035125686531615,-25.530379012795187
119.0,-25.89432124143549,-29.539310130384962
120.0,-27.431210489990626,-25.66243661982707
121.0,-27.79970948612809,-23.94162935186818
122.0,-28.7950821856051,-24.07659569649079
123.0,-28.573823785107074,-20.13405830230696
124.0,-28.704060960858033,-44.97743660254366
125.0,-28.852024753784164,-31.173283693061272
126.0,-29.072918693409225,-29.01419798818178
127.0,-29.73373729195222,-26.113539010953684
128.0,-28.76996496887198,-37.19908442592028
