Freq_kHz,TS,f_bs
30.00,-63.61323271522085,(-0.0006590963733222887+2.79246715552751e-05j)
31.00,-63.44998702580494,(-0.0006715055628675161+3.061981871057858e-05j)
32.00,-63.32441460044842,(-0.0006811739920176478+3.339249364401802e-05j)
33.00,-63.23635454564845,(-0.0006879883284492891+3.622553715236644e-05j)
34.00,-63.185864403092836,(-0.0006918538608894625+3.90989849485632e-05j)
35.00,-63.18142695928641,(-0.0006920391745284355+4.199007224433824e-05j)
36.00,-63.2083981787389,(-0.0006897041555727512+4.487329352050768e-05j)
37.00,-63.26395103511686,(-0.0006850959837636268+4.7720705925024196e-05j)
38.00,-63.36922685749816,(-0.0006766003461303223+5.0502362139201675e-05j)
39.00,-63.516280710375774,(-0.0006649687161972745+5.3186637519307665e-05j)
40.00,-63.70698120067679,(-0.0006502209677789633+5.574086736359412e-05j)
41.00,-63.943676473315286,(-0.0006323958555255686+5.813190000783924e-05j)
42.00,-64.22929180314364,(-0.0006115508634604717+6.032667255538957e-05j)
43.00,-64.56745989684565,(-0.0005877620210724747+6.229275325668961e-05j)
44.00,-64.96270032374244,(-0.0005611234774508935+6.399882178572921e-05j)
45.00,-65.42065263888806,(-0.0005317478622968428+6.541507121918464e-05j)
46.00,-65.94843105523137,(-0.0004997649806205393+6.65135113806453e-05j)
47.00,-66.55510648257155,(-0.00046532182096996924+6.726818481877555e-05j)
48.00,-67.2524298089096,(-0.0004285817449503289+6.765529642171224e-05j)
49.00,-68.0559257698651,(-0.00038972363288336916+6.765327790836698e-05j)
50.00,-68.98660908036211,(-0.00034894085209318345+6.724281124708256e-05j)
51.00,-70.07364355866164,(-0.0003064453006554262+6.64068390225031e-05j)
52.00,-71.35964481817544,(-0.00026244598374455835+6.513058982218791e-05j)
53.00,-72.90853145219391,(-0.00021717670410574246+6.340164012918676e-05j)
54.00,-74.8221329445811,(-0.00017087456497003503+6.121004951520879e-05j)
55.00,-77.26985289531657,(-0.00012378468950565095+5.8548534016922136e-05j)
56.00,-80.49797820719198,(-7.64597213034492e-05+5.541272823545291e-05j)
57.00,-84.58265471175966,(-2.8246162710042746e-05+5.180153290935254e-05j)
58.00,-85.7434195397196,(1.969287201172984e-05+4.771740203275593e-05j)
59.00,-81.93370237961201,(6.740371450847057e-05+4.316678150812118e-05j)
60.00,-78.35748604126017,(0.00011463145744869238+3.8160431187948886e-05j)
61.00,-75.68136602856052,(0.0001611238372116086+3.2713743873365056e-05j)
62.00,-73.62329589562529,(0.00020663324772186482+2.6846983693165884e-05j)
63.00,-71.98031372874367,(0.0002509155878972926+2.058543290848878e-05j)
64.00,-70.63109652638096,(0.00029373472773312114+1.395941460341657e-05j)
65.00,-69.50079326943647,(0.0003348616043152295+7.0041987769284705e-06j)
66.00,-68.54080666953622,(0.0003740757686308733-2.4022141705548306e-07j)
67.00,-67.71711365772474,(0.0004112137319129249-7.729470855100752e-06j)
68.00,-67.00838564351224,(0.0004459862276988121-1.541523694783432e-05j)
69.00,-66.39670071468299,(0.0004782473200476953-2.3245792138724757e-05j)
70.00,-65.8694493226449,(0.0005078215793969868-3.116657111267731e-05j)
71.00,-65.4170891620007,(0.0005345466305523931-3.912077657282174e-05j)
72.00,-65.03226382608295,(0.0005582772694035289-4.704995981755422e-05j)
73.00,-64.70931603720665,(0.0005788822525987752-5.4894619639191316e-05j)
74.00,-64.44386132381732,(0.0005962478718294675-6.259471663799247e-05j)
75.00,-64.23253189962293,(0.0006102782184409945-7.009015495250305e-05j)
76.00,-64.07278944555438,(0.0006208959460479637-7.732120527847697e-05j)
77.00,-63.96279423467434,(0.0006280428961396822-8.422887792567823e-05j)
78.00,-63.901315962473205,(0.0006316805671675303-9.07552567883806e-05j)
79.00,-63.88767700724317,(0.0006317904136805693-9.684380941740766e-05j)
80.00,-63.921704018810665,(0.0006283753419666896-0.000102439684588318j)
81.00,-64.00596246507928,(0.0006212945108220261-0.00010749005418542481j)
82.00,-64.13715911557483,(0.0006109001936927151-0.0001119444034872445j)
83.00,-64.31878332388978,(0.0005971035025025843-0.00011575495224086737j)
84.00,-64.55295101079669,(0.0005799843676292783-0.00011887705391334724j)
85.00,-64.84252636472158,(0.0005596410990695377-0.00012126965921493127j)
86.00,-65.19127090694674,(0.0005361897024640635-0.00012289580958077222j)
87.00,-65.60405438456127,(0.0005097631308331065-0.0001237231503630357j)
88.00,-66.08717178632021,(0.0004805094155897334-0.0001237244448394765j)
89.00,-66.64870647327379,(0.0004485947586735126-0.00012287806990259723j)
90.00,-67.29924385311114,(0.0004141972239846968-0.00012116846451400917j)
91.00,-68.05274857546321,(0.00037750923096527153-0.00011858651661656813j)
92.00,-68.92800714218801,(0.0003387358342884985-0.00011512986468355664j)
93.00,-69.95089015426389,(0.00029809375428664994-0.00011080310152539145j)
94.00,-71.1580486027237,(0.0002558103471462192-0.0001056178722877616j)
95.00,-72.60311396228364,(0.0002121225117880388-9.959286382197613e-05j)
96.00,-74.36704733861728,(0.00016727551022092428-9.275369094456117e-05j)
97.00,-76.57271943356474,(0.00012152325873660535-8.513267533618137e-05j)
98.00,-79.3768649153381,(7.516277087989014e-05-7.676861341354825e-05j)
99.00,-82.6845811512265,(2.8377237736554956e-05-6.77063555468431e-05j)
100.00,-84.30986982862352,(-1.8529125550411056e-05-5.7996463945739165e-05j)
101.00,-81.84584214500106,(-6.528987889826419e-05-4.769479201288437e-05j)
102.00,-78.5942654754836,(-0.00011163901517832346-3.686206569357671e-05j)
103.00,-75.95153434329659,(-0.00015731262029225712-2.5563469895765357e-05j)
104.00,-73.87038798559344,(-0.0002020505321809946-1.3868246751939284e-05j)
105.00,-72.19525820861543,(-0.00024559797297957415-1.8493076864395806e-06j)
106.00,-70.81524677843545,(-0.0002877088194587156+1.0417146693672731e-05j)
107.00,-69.65778141244496,(-0.00032814088548941626+2.2851989457066243e-05j)
108.00,-68.67435284437848,(-0.0003666660373807007+3.5373562538032806e-05j)
109.00,-67.83157473625056,(-0.00040306607824349555+4.78980665248189e-05j)
110.00,-67.10571306102226,(-0.0004371352372067745+6.0339992274066875e-05j)
111.00,-66.47943504202864,(-0.00046868126824368836+7.261259134202175e-05j)
112.00,-65.93980391009389,(-0.0004975264410641152+8.462839504302759e-05j)
113.00,-65.47700195730334,(-0.00052350843001351+9.629978602403326e-05j)
114.00,-65.08349284379081,(-0.0005464811090514483+0.00010753962182550591j)
