Freq_kHz,TS,f_bs
30.00,-83.71470808015266,(6.51774364804969e-05+1.809584737691396e-06j)
31.00,-81.53635317646804,(8.37783370101528e-05+1.2790274088270778e-06j)
32.00,-79.98064831401834,(0.00010022068223921677+6.878790470348077e-07j)
33.00,-78.85656459138413,(0.00011407007542468391+5.000083484859658e-08j)
34.00,-78.06466176505633,(0.00012495728523289552-6.191089713368973e-07j)
35.00,-77.54947221416217,(0.00013258836834739376-1.302767584638509e-06j)
36.00,-77.28030949418138,(0.00013675362483311446-1.9835396231237214e-06j)
37.00,-77.24281523824969,(0.0001373342276121093-2.6436354338036306e-06j)
38.00,-77.43550114810047,(0.0001343063755721792-3.26527305028715e-06j)
39.00,-77.86922059057862,(0.00012774495641700628-3.8310076063472e-06j)
40.00,-78.57025635409485,(0.00011781344809034421-4.324040723593108e-06j)
41.00,-79.58617587885172,(0.00010477299675795182-4.7285254903846475e-06j)
42.00,-81.00154319589484,(8.896718830154255e-05-5.029884311675831e-06j)
43.00,-82.9739916889239,(7.081510312945618e-05-5.215153952775775e-06j)
44.00,-85.8361644775129,(5.080007705069976e-05-5.273366408868903e-06j)
45.00,-90.48327747776645,(2.9456599573442023e-05-5.19596570902976e-06j)
46.00,-101.03027831369556,(7.3558090525400896e-06-4.977251226088772e-06j)
47.00,-96.13305572854658,(-1.4910163753085259e-05-4.614827496769373e-06j)
48.00,-88.642192087615,(-3.6744336605077944e-05-4.110032902879884e-06j)
49.00,-84.78166656372926,(-5.7561185184663204e-05-3.46831206944312e-06j)
50.00,-82.28711930934523,(-7.68026018964032e-05-2.699493830423305e-06j)
51.00,-80.54015515776013,(-9.395306607336684e-05-1.8179363645117978e-06j)
52.00,-79.28702042120608,(-0.00010855151741630752-8.425051571351824e-07j)
53.00,-78.4010814485561,(-0.00012021130294151193+2.036457635136478e-07j)
54.00,-77.81336073818908,(-0.00012862044340106144+1.2935005946383744e-06j)
55.00,-77.4853284048038,(-0.0001335560773757474+2.3968272011451594e-06j)
