Freq_kHz,TS,f_bs
10.00,-88.39156955811174,(-3.8055841974189657e-05+3.532250231882672e-08j)
12.00,-85.27709304456864,(-5.446842735490764e-05+8.359930723447652e-08j)
14.00,-82.66071419074692,(-7.361445892747452e-05+1.705924918604429e-07j)
16.00,-80.41099767043735,(-9.537790827673196e-05+3.119410238354087e-07j)
18.00,-78.44313980648734,(-0.00011962965217949809+5.242193599144832e-07j)
20.00,-76.69925403646982,(-0.0001462279537526429+8.240209772279744e-07j)
22.00,-75.13809837145425,(-0.000175018679613901+1.227338736204109e-06j)
24.00,-73.72928253562988,(-0.00020583545766108202+1.7493515290637665e-06j)
26.00,-72.44979128887982,(-0.00023849998902460262+2.404610355111249e-06j)
28.00,-71.28178902859901,(-0.00027282272119427513+3.2075052454892264e-06j)
30.00,-70.21117622726793,(-0.0003086039570616621+4.172816806134196e-06j)
32.00,-69.22660843500284,(-0.0003456353982164653+5.316133663144333e-06j)
34.00,-68.31881350658817,(-0.0003837019731838247+6.653955275377387e-06j)
36.00,-67.48010602272113,(-0.00042258383868110013+8.20338572205789e-06j)
38.00,-66.70404101980628,(-0.00046205815599572664+9.981434069155924e-06j)
40.00,-65.98516097742005,(-0.0005019006658053257+1.2004037812329086e-05j)
42.00,-65.3188290085566,(-0.000541885710098996+1.4284996753877834e-05j)
44.00,-64.70102592430521,(-0.0005817909444846319+1.683502594446595e-05j)
46.00,-64.12833533959889,(-0.0006213924216104997+1.96611069462862e-05j)
48.00,-63.59780598260578,(-0.000660468099202767+2.276624330922538e-05j)
50.00,-63.10689465775784,(-0.0006987975981304077+2.6149626268125744e-05j)
52.00,-62.65340892555578,(-0.0007361627666174163+2.980711542274548e-05j)
54.00,-62.23545567179172,(-0.0007723486874222373+3.3731862307272265e-05j)
56.00,-61.851397089573865,(-0.0008071449324545422+3.791487482360265e-05j)
58.00,-61.49980868128401,(-0.0008403474544744899+4.2345339728501036e-05j)
60.00,-61.17945107429619,(-0.0008717599107830561+4.701060411733123e-05j)
62.00,-60.88924248934386,(-0.0009011954428814074+5.189579494863933e-05j)
64.00,-60.638475754820305,(-0.0009273803933232485+5.698321638521752e-05j)
66.00,-60.39563376867896,(-0.0009534426928543981+6.225136806360695e-05j)
